,E.XX,MML_STRESS_GUESS_XX,MML_STRESS_GUESS_YY,MML_STRESS_GUESS_ZZ,MML_STRESS_GUESS_XY,MML_STRESS_GUESS_YZ,MML_STRESS_GUESS_XZ,DELTA_EXX,DELTA_EYY,DELTA_EZZ,DELTA_EXY,DELTA_EYZ,DELTA_EXZ,TRIAL_STRESS_PRE_TRANS_XX,TRIAL_STRESS_PRE_TRANS_YY,TRIAL_STRESS_PRE_TRANS_ZZ,TRIAL_STRESS_PRE_TRANS_XY,TRIAL_STRESS_PRE_TRANS_YZ,TRIAL_STRESS_PRE_TRANS_XZ,DELTA_SXX,DELTA_SYY,DELTA_SZZ,DELTA_SXY,DELTA_SYZ,DELTA_SXZ,TRIAL_STRESS_POST_TRANS_XX,TRIAL_STRESS_POST_TRANS_YY,TRIAL_STRESS_POST_TRANS_ZZ,TRIAL_STRESS_PRE_TRANS_XY,TRIAL_STRESS_PRE_TRANS_YZ,TRIAL_STRESS_PRE_TRANS_XZ,CONV_STRESS_ISO_XX,CONV_STRESS_ISO_YY,CONV_STRESS_ISO_ZZ,CONV_STRESS_ISO_XY,CONV_STRESS_ISO_YZ,CONV_STRESS_ISO_XZ,FICT_SXX,FICT_SYY,FICT_SZZ,FICT_SXY,FICT_SYZ,FICT_SXZ,FICT_EP_XX,FICT_EP_YY,FICT_EP_ZZ,REAL_EP_XX,REAL_EP_YY,REAL_EP_ZZ,S.XX,S.YY,S.ZZ,S.YZ,S.XZ,S.XY,S.VM
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-32,1e-32,1e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.491897668200064,14.719260608891537,5.767074643357739e-16,0.0,0.0,0.0,10.491897668200064,14.719260608891537,5.767074643357739e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.00045903840895112035,0.0006095049730921156,-0.00015046656414099567,10.491897668200064,14.719260608891537,5.767074643357739e-16,0.0,0.0,0.0,0.0
2,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67110329825618,16.842034598875333,9.252231684790668e-14,0.0,0.0,0.0,17.67110329825618,16.842034598875333,9.252231684790668e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010062705432971402,0.0023683459824990153,-0.0013620754392018872,17.67110329825618,16.842034598875333,9.252231684790668e-14,0.0,0.0,0.0,0.0
3,0.0002999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857373897881757,16.99066569218784,6.1681887895959076e-15,0.0,0.0,0.0,17.857373897881757,16.99066569218784,6.1681887895959076e-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009199479847367102,0.0040917366818925575,-0.0031717886971558626,17.857373897881757,16.99066569218784,6.1681887895959076e-15,0.0,0.0,0.0,0.0
4,0.00039999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.039857581187697,17.157115783180902,-1.048426211298914e-14,0.0,0.0,0.0,18.039857581187697,17.157115783180902,-1.048426211298914e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008326533681923047,0.005813219369562581,-0.004980566001370295,18.039857581187697,17.157115783180902,-1.048426211298914e-14,0.0,0.0,0.0,0.0
5,0.0004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.224062896248196,17.325728001652802,-9.763321878394904e-15,0.0,0.0,0.0,18.224062896248196,17.325728001652802,-9.763321878394904e-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007454589308505489,0.007534543159557196,-0.00678908422870667,18.224062896248196,17.325728001652802,-9.763321878394904e-15,0.0,0.0,0.0,0.0
6,0.0005999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.409232491216557,17.49495128556128,-2.1028101135356358e-16,0.0,0.0,0.0,18.409232491216557,17.49495128556128,-2.1028101135356358e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006583405919143821,0.009255837934817003,-0.00859749734290265,18.409232491216557,17.49495128556128,-2.1028101135356358e-16,0.0,0.0,0.0,0.0
7,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.595150711045928,17.664185426003645,-6.40140067689754e-16,0.0,0.0,0.0,18.595150711045928,17.664185426003645,-6.40140067689754e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005712967736887517,0.010977156534374343,-0.010405859760685615,18.595150711045928,17.664185426003645,-6.40140067689754e-16,0.0,0.0,0.0,0.0
8,0.0007999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78168066528434,17.833205391400185,-5.024463917840949e-16,0.0,0.0,0.0,18.78168066528434,17.833205391400185,-5.024463917840949e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004843212802387277,0.012698516903595015,-0.01221419562335632,18.78168066528434,17.833205391400185,-5.024463917840949e-16,0.0,0.0,0.0,0.0
9,0.0008999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.968728043726443,18.001917772644887,-9.648044082405383e-16,0.0,0.0,0.0,18.968728043726443,18.001917772644887,-9.648044082405383e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003974077900082159,0.014419925244094975,-0.014022517454086794,18.968728043726443,18.001917772644887,-9.648044082405383e-16,0.0,0.0,0.0,0.0
10,0.0009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.156218453325916,18.170288376694856,-7.299689281856092e-15,0.0,0.0,0.0,19.156218453325916,18.170288376694856,-7.299689281856092e-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031055000096298256,0.016141382499395895,-0.015830832498432954,19.156218453325916,18.170288376694856,-7.299689281856092e-15,0.0,0.0,0.0,0.0
11,0.0010999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.344086949882005,18.33831442143384,-1.626167733456696e-15,0.0,0.0,0.0,19.344086949882005,18.33831442143384,-1.626167733456696e-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022374150983556736,0.017862886786680538,-0.017639145276845014,19.344086949882005,18.33831442143384,-1.626167733456696e-15,0.0,0.0,0.0,0.0
12,0.0011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.532272964669392,18.506012335577758,5.046475932447836e-14,0.0,0.0,0.0,19.532272964669392,18.506012335577758,5.046475932447836e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013697571114494635,0.019584434447763647,-0.019447458736618746,19.532272964669392,18.506012335577758,5.046475932447836e-14,0.0,0.0,0.0,0.0
13,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.720717890856235,18.673411703212587,-2.8540131412693737e-15,0.0,0.0,0.0,19.720717890856235,18.673411703212587,-2.8540131412693737e-15,0.0,0.0,0.0,0.0,0.0,0.0,-5.024575754202921e-05,0.021306020574207,-0.02125577481666502,19.720717890856235,18.673411703212587,-2.8540131412693737e-15,0.0,0.0,0.0,0.0
14,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.90936408021502,18.840551832477153,1.2960823820434841e-15,0.0,0.0,0.0,19.90936408021502,18.840551832477153,1.2960823820434841e-15,0.0,0.0,0.0,0.0,0.0,0.0,3.645542622032782e-05,0.0230276393170045,-0.02306409474322488,19.90936408021502,18.840551832477153,1.2960823820434841e-15,0.0,0.0,0.0,0.0
