,TIME,DTIME,MML_STRESS_GUESS_XX,MML_STRESS_GUESS_YY,MML_STRESS_GUESS_ZZ,MML_STRESS_GUESS_XY,MML_STRESS_GUESS_YZ,MML_STRESS_GUESS_XZ,DELTA_EXX,DELTA_EYY,DELTA_EZZ,DELTA_EXY,DELTA_EYZ,DELTA_EXZ,TRIAL_STRESS_PRE_TRANS_XX,TRIAL_STRESS_PRE_TRANS_YY,TRIAL_STRESS_PRE_TRANS_ZZ,TRIAL_STRESS_PRE_TRANS_XY,TRIAL_STRESS_PRE_TRANS_YZ,TRIAL_STRESS_PRE_TRANS_XZ,DELTA_SXX,DELTA_SYY,DELTA_SZZ,DELTA_SXY,DELTA_SYZ,DELTA_SXZ,TRIAL_STRESS_POST_TRANS_XX,TRIAL_STRESS_POST_TRANS_YY,TRIAL_STRESS_POST_TRANS_ZZ,TRIAL_STRESS_PRE_TRANS_XY,TRIAL_STRESS_PRE_TRANS_YZ,TRIAL_STRESS_PRE_TRANS_XZ,CONV_STRESS_ISO_XX,CONV_STRESS_ISO_YY,CONV_STRESS_ISO_ZZ,CONV_STRESS_ISO_XY,CONV_STRESS_ISO_YZ,CONV_STRESS_ISO_XZ,FICT_SXX,FICT_SYY,FICT_SZZ,FICT_SXY,FICT_SYZ,FICT_SXZ,FICT_EP_XX,FICT_EP_YY,FICT_EP_ZZ,REAL_EP_XX,REAL_EP_YY,REAL_EP_ZZ,REAL_SXX,REAL_SYY,REAL_SZZ,REAL_SXY,REAL_SYZ,REAL_SXZ,S.VM
13,0,0.05,0,0,0,0,0,0,0.0005,0,0,0,0,0,7490.645116,3739.707382,3739.707382,0,0,0,7490.645116,3739.707382,3739.707382,0,0,0,2493.322326,6117.036584,6359.70097,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,-0.000331893,0.000149818,0.000182076,0.000332415,-0.000166209,-0.000166207,4996.955323,4986.552261,4986.552297,0,0,0,10.40304363
14,0,0.05,0,0,0,0,0,0,0.0005,7.45E-09,0,0,0,0,7490.700842,3739.819001,3739.763108,0,0,0,7490.700842,3739.819001,3739.763108,0,0,0,2493.413477,6117.131351,6359.738124,0,0,0,4983.169845,4993.220122,4993.892985,0,0,0,4983.169845,4993.220122,4993.892985,0,0,0,-0.000331891,0.00014982,0.000182071,0.000332413,-0.000166204,-0.000166209,4997.029678,4986.626697,4986.626577,0,0,0,10.40304062
15,0,0.05,0,0,0,0,0,0,0.0005,-7.45E-09,0,0,0,0,7490.58939,3739.595763,3739.651656,0,0,0,7490.58939,3739.595763,3739.651656,0,0,0,2493.231175,6116.941817,6359.663817,0,0,0,4983.021136,4993.07125,4993.744423,0,0,0,4983.021136,4993.07125,4993.744423,0,0,0,-0.000331896,0.000149815,0.000182081,0.000332418,-0.000166214,-0.000166204,4996.880967,4986.477825,4986.478016,0,0,0,10.40304664
16,0,0.05,0,0,0,0,0,0,0.0005,0,7.45E-09,0,0,0,7490.700842,3739.763108,3739.819001,0,0,0,7490.700842,3739.763108,3739.819001,0,0,0,2493.417093,6117.073738,6359.792121,0,0,0,4983.169855,4993.219962,4993.893135,0,0,0,4983.169855,4993.219962,4993.893135,0,0,0,-0.000331891,0.000149813,0.000182078,0.000332413,-0.000166211,-0.000166202,4997.029678,4986.626542,4986.626732,0,0,0,10.40304062
17,0,0.05,0,0,0,0,0,0,0.0005,0,-7.45E-09,0,0,0,7490.58939,3739.651656,3739.595763,0,0,0,7490.58939,3739.651656,3739.595763,0,0,0,2493.227559,6116.999431,6359.609819,0,0,0,4983.021126,4993.07141,4993.744273,0,0,0,4983.021126,4993.07141,4993.744273,0,0,0,-0.000331896,0.000149823,0.000182073,0.000332418,-0.000166206,-0.000166212,4996.880967,4986.47798,4986.477861,0,0,0,10.40304664
18,0,0.05,0,0,0,0,0,0,0.0005,-0.000249822,-0.000249823,0,0,0,3753.586986,-1871.487779,-1871.494245,0,0,0,3753.586986,-1871.487779,-1871.494245,0,0,0,-3740.627329,1693.66406,2057.56823,0,0,0,-3.523883355,6.721388187,7.407456851,0,0,0,-3.523883355,6.721388187,7.407456851,0,0,0,-0.000498166,0.000224874,0.000273292,0.000498949,-0.000249476,-0.000249473,10.60496165,-2.13E-05,2.13E-05,0,0,0,10.60496163
19,0,0.05,0,0,0,0,0,0,0.0005,-0.000249822,-0.000249823,0,0,0,3753.586986,-1871.487779,-1871.494245,0,0,0,3753.586986,-1871.487779,-1871.494245,0,0,0,-3740.627329,1693.66406,2057.56823,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,-0.000331893,0.000149818,0.000182076,0.000332415,-0.000166209,-0.000166207,4996.955323,4986.552261,4986.552297,0,0,0,10.40304363
20,0,0.05,0,0,0,0,0,0,0.0005,-0.000249815,-0.000249823,0,0,0,3753.642712,-1871.37616,-1871.438519,0,0,0,3753.642712,-1871.37616,-1871.438519,0,0,0,-3740.536178,1693.758827,2057.605384,0,0,0,-3.449527667,6.795798683,7.481761942,0,0,0,-3.449527667,6.795798683,7.481761942,0,0,0,-0.000498163,0.000224877,0.000273287,0.000498947,-0.000249471,-0.000249476,10.67931673,0.074389499,0.074326728,0,0,0,10.60495862
21,0,0.05,0,0,0,0,0,0,0.0005,-0.00024983,-0.000249823,0,0,0,3753.53126,-1871.599398,-1871.549971,0,0,0,3753.53126,-1871.599398,-1871.549971,0,0,0,-3740.71848,1693.569294,2057.531077,0,0,0,-3.598239041,6.646977691,7.33315176,0,0,0,-3.598239041,6.646977691,7.33315176,0,0,0,-0.000498168,0.000224871,0.000273297,0.000498952,-0.000249481,-0.000249471,10.53060656,-0.074432067,-0.074284086,0,0,0,10.60496464
22,0,0.05,0,0,0,0,0,0,0.0005,-0.000249822,-0.000249816,0,0,0,3753.642712,-1871.432053,-1871.382626,0,0,0,3753.642712,-1871.432053,-1871.382626,0,0,0,-3740.532562,1693.701214,2057.659381,0,0,0,-3.44952085,6.795690064,7.481863744,0,0,0,-3.44952085,6.795690064,7.481863744,0,0,0,-0.000498163,0.000224869,0.000273294,0.000498947,-0.000249479,-0.000249468,10.67931673,0.074284123,0.074432105,0,0,0,10.60495862
